seed,sim_name,sensibility_parameter,sensibility_value,nb_agregats_om,nb_chateaux_om,nb_gros_chateaux_om,nb_seigneurs_om,nb_eglises_om,nb_eglises_paroissiales_om,distance_eglises_paroissiales_om,proportion_fp_isoles_om,augmentation_charge_fiscale_om,total_duration
9.0,4_5_OM,apparition_chateaux,1140,109,8,0,200,245,193,1691,0.1515,1.5239640539191213,177984
7.0,4_5_OM,apparition_chateaux,1140,115,8,0,200,240,192,1973,0.126,1.3821624314897856,182581
8.0,4_5_OM,apparition_chateaux,1120,107,12,0,200,254,200,1820,0.13025,1.60125,187406
8.0,4_5_OM,apparition_chateaux,1140,107,8,0,200,241,187,1989,0.1315,1.5675,184146
3.0,4_5_OM,apparition_chateaux,1140,99,8,0,189,244,196,1915,0.131,1.5365792759051187,184722
3.0,4_5_OM,apparition_chateaux,1120,103,12,0,194,243,195,1785,0.1175,1.6317103620474407,193206
10.0,4_5_OM,apparition_communautes,820,89,44,11,191,241,191,2081,0.11725,2.9587782468338713,173520
2.0,4_5_OM,apparition_chateaux,1160,101,4,0,191,243,194,2058,0.15875,1.5885728542914173,167407
4.0,4_5_OM,apparition_chateaux,1120,98,12,0,190,231,181,2431,0.13375,1.59975,194204
4.0,4_5_OM,apparition_chateaux,1140,109,8,0,194,232,182,2422,0.12625,1.50675,193115
2.0,4_5_OM,apparition_communautes,800,116,44,13,200,252,201,1894,0.1375,4.214570858283433,198712
10.0,4_5_OM,apparition_communautes,840,103,44,10,204,239,180,1861,0.14325,2.9828656568164886,185258
5.0,4_5_OM,apparition_chateaux,1120,98,12,0,194,244,191,2258,0.14725,1.5829383886255923,203526
5.0,4_5_OM,apparition_chateaux,1140,83,8,0,194,242,189,2343,0.14775,1.5026191070092292,204319
9.0,4_5_OM,apparition_chateaux,1160,100,4,0,198,247,195,1498,0.16075,1.5688966550174737,171809
7.0,4_5_OM,apparition_chateaux,1160,114,4,0,199,241,193,1943,0.12975,1.3851519681116091,173155
1.0,4_5_OM,apparition_chateaux,1160,105,4,0,205,248,197,1594,0.1205,1.483316733067729,183353
6.0,4_5_OM,apparition_chateaux,1160,101,4,0,203,260,208,1737,0.1355,1.4793223716990531,172370
6.0,4_5_OM,apparition_communautes,800,117,44,12,212,257,202,2014,0.114,4.188589935226706,199793
9.0,4_5_OM,apparition_communautes,800,109,44,9,196,245,192,1876,0.13075,3.872191712431353,201762
7.0,4_5_OM,apparition_communautes,800,105,44,13,201,245,198,2079,0.119,2.1046337817638268,199738
1.0,4_5_OM,apparition_communautes,800,112,44,14,184,238,198,2136,0.10525,3.0971115537848606,220997
8.0,4_5_OM,apparition_chateaux,1160,94,4,0,197,252,197,1887,0.12825,1.50175,183117
8.0,4_5_OM,apparition_communautes,800,118,44,12,194,252,197,1785,0.111,3.5275,215112
10.0,4_5_OM,apparition_communautes,860,99,44,13,205,252,198,1756,0.13475,3.0225974670970945,174528
3.0,4_5_OM,apparition_chateaux,1160,109,4,0,197,227,180,2209,0.12475,1.625717852684145,180320
2.0,4_5_OM,apparition_communautes,820,116,44,13,196,244,200,2085,0.13925,3.7925,193434
4.0,4_5_OM,apparition_chateaux,1160,104,4,0,197,232,182,2308,0.1345,1.49775,187861
3.0,4_5_OM,apparition_communautes,800,108,44,11,190,251,200,1595,0.1155,3.1505617977528093,214757
10.0,4_5_OM,apparition_communautes,880,100,44,11,191,240,188,2007,0.127,3.321579339458654,176008
2.0,4_5_OM,apparition_communautes,840,97,44,11,216,249,204,1778,0.12925,3.6385,192355
4.0,4_5_OM,apparition_communautes,800,109,44,14,192,246,198,1744,0.1325,3.211,220273
5.0,4_5_OM,apparition_chateaux,1160,106,4,0,187,243,190,2291,0.1505,1.5033674232975804,192648
7.0,4_5_OM,apparition_communautes,820,113,44,12,210,250,206,1719,0.1275,2.655790784557908,195858
9.0,4_5_OM,apparition_communautes,820,114,44,11,204,242,196,1756,0.11525,3.8686969545681476,199591
6.0,4_5_OM,apparition_communautes,820,128,44,11,198,255,205,2251,0.10375,2.950921773791729,200135
1.0,4_5_OM,apparition_communautes,820,111,44,12,213,252,205,1861,0.1225,2.7972027972027975,207621
5.0,4_5_OM,apparition_communautes,800,118,44,8,186,241,195,2281,0.13175,3.694188076827139,226787
9.0,4_5_OM,apparition_communautes,840,112,44,11,205,246,201,1999,0.13025,3.1637543684473286,192415
6.0,4_5_OM,apparition_communautes,840,109,44,12,217,262,216,1908,0.113,2.5854509217737918,197033
7.0,4_5_OM,apparition_communautes,840,114,44,9,209,232,185,2063,0.14,3.1793275217932755,196637
8.0,4_5_OM,apparition_communautes,820,110,44,9,200,268,217,1775,0.1115,3.491774675972084,203640
1.0,4_5_OM,apparition_communautes,840,99,44,13,198,240,190,1756,0.1255,3.827672327672328,212987
8.0,4_5_OM,apparition_communautes,840,115,44,12,204,246,197,1961,0.125,2.9007976071784647,197146
10.0,4_5_OM,apparition_communautes,900,95,44,13,190,226,174,2141,0.131,3.131859945368761,170387
10.0,4_5_OM,apparition_communautes,920,114,44,10,194,249,197,1819,0.125,2.8959523218276635,169666
3.0,4_5_OM,apparition_communautes,820,112,44,11,202,234,190,2055,0.092,2.9982513115163627,213188
2.0,4_5_OM,apparition_communautes,860,102,44,12,212,247,195,1813,0.12,2.44625,194907
2.0,4_5_OM,apparition_communautes,880,93,44,13,193,243,198,2007,0.14825,3.1745,186997
4.0,4_5_OM,apparition_communautes,820,113,44,12,205,243,188,1851,0.119,4.370657335666083,224828
3.0,4_5_OM,apparition_communautes,840,112,44,13,205,258,210,1795,0.11,2.4908818386210343,221320
4.0,4_5_OM,apparition_communautes,840,108,44,12,197,255,200,1723,0.11575,2.9460134966258433,218576
6.0,4_5_OM,apparition_communautes,860,108,44,14,212,256,210,1955,0.132,3.390881913303438,187961
5.0,4_5_OM,apparition_communautes,820,108,44,14,199,250,200,2196,0.11525,3.1006493506493507,212983
9.0,4_5_OM,apparition_communautes,860,127,44,14,205,250,203,1674,0.121,3.3185222166749875,201240
7.0,4_5_OM,apparition_communautes,860,114,44,13,212,250,211,2152,0.1085,3.496139476961395,204411
6.0,4_5_OM,apparition_communautes,880,106,44,11,211,246,202,1952,0.12375,3.3774289985052315,186535
1.0,4_5_OM,apparition_communautes,860,125,44,10,195,256,205,1633,0.10925,3.801198801198802,204822
9.0,4_5_OM,apparition_communautes,880,118,44,12,205,236,195,2255,0.138,3.605841238142786,193448
5.0,4_5_OM,apparition_communautes,840,98,44,10,212,238,194,2175,0.11875,3.715784215784216,217236
7.0,4_5_OM,apparition_communautes,880,106,44,10,204,237,195,2004,0.12575,3.3698630136986303,195328
8.0,4_5_OM,apparition_communautes,860,97,44,10,198,242,192,1922,0.11025,2.903290129611167,197705
10.0,4_5_OM,apparition_communautes,940,108,44,8,199,245,199,2144,0.138,2.927489446237894,176595
8.0,4_5_OM,apparition_communautes,880,105,44,10,223,245,196,1967,0.12225,3.712861415752742,201639
1.0,4_5_OM,apparition_communautes,880,108,44,13,198,252,207,1765,0.09125,2.703796203796204,218154
10.0,4_5_OM,apparition_communautes,960,105,44,14,199,240,186,1785,0.136,2.9481003228209586,179419
2.0,4_5_OM,apparition_communautes,900,108,44,13,198,237,192,1990,0.119,2.5385,183971
3.0,4_5_OM,apparition_communautes,860,109,44,10,209,238,191,1825,0.11075,3.124906320259805,209381
2.0,4_5_OM,apparition_communautes,920,115,44,10,202,235,195,1779,0.1335,2.8025,187217
3.0,4_5_OM,apparition_communautes,880,106,44,11,208,257,214,1834,0.10875,3.4983762178366224,208246
4.0,4_5_OM,apparition_communautes,860,105,44,12,206,241,188,1878,0.102,3.9675081229692575,217227
6.0,4_5_OM,apparition_communautes,900,126,44,11,200,247,205,1944,0.1235,2.7897359242650723,188405
9.0,4_5_OM,apparition_communautes,900,113,44,11,224,239,192,2136,0.1415,3.487518721917124,189813
7.0,4_5_OM,apparition_communautes,900,111,44,12,199,249,202,1702,0.1325,3.07173100871731,192110
6.0,4_5_OM,apparition_communautes,920,102,44,10,207,233,187,2145,0.1385,4.46337817638266,181147
4.0,4_5_OM,apparition_communautes,880,106,44,8,184,237,179,1755,0.1295,3.5866033491627087,211287
5.0,4_5_OM,apparition_communautes,860,107,44,13,199,254,206,1752,0.12725,2.2572427572427576,210604
9.0,4_5_OM,apparition_communautes,920,118,44,11,209,248,201,1836,0.11625,2.933849226160759,199073
7.0,4_5_OM,apparition_communautes,920,108,44,13,190,245,201,2240,0.10925,3.4000000000000004,185733
1.0,4_5_OM,apparition_communautes,900,117,44,12,202,245,194,1500,0.115,3.5422077922077926,220362
